"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"1"	3.09040550182273e-188	1.05356693051212	0.303	0.083	6.54702405561146e-184	"0"	"ITGA1"
"2"	2.06938047600387e-182	0.858875961307666	0.406	0.152	4.3839825384142e-178	"0"	"CAPG"
"3"	6.01145899479996e-88	0.923548147538754	0.282	0.119	1.27352758804837e-83	"0"	"ITM2C"
"4"	1.51052798440293e-68	0.763922218064201	0.278	0.153	3.2000535349576e-64	"0"	"FOSB"
"5"	6.03456407670935e-09	1.18747408113434	0.298	0.258	0.000127842239965088	"0"	"ANKRD11"
"6"	0	1.3376665500751	0.778	0.194	0	"1"	"CCR7"
"7"	0	1.29795447501257	0.76	0.181	0	"1"	"TCF7"
"8"	0	1.26449550237951	0.622	0.15	0	"1"	"TXK"
"9"	1.35171453290629e-210	1.56265225416919	0.343	0.052	2.86360723796197e-206	"1"	"ACTN1"
"10"	2.35041069698986e-160	1.330442563666	0.364	0.092	4.97934506157301e-156	"1"	"LEF1-AS1"
"11"	0	2.60464027478831	0.441	0.021	0	"2"	"PRSS23"
"12"	0	2.43505536155884	0.513	0.036	0	"2"	"FCGR3A"
"13"	0	2.41850713153768	0.724	0.048	0	"2"	"CX3CR1"
"14"	1.43225033056641e-287	3.24933288314153	0.404	0.042	3.03422232530494e-283	"2"	"SPON2"
"15"	1.3140107202506e-224	2.64646804293323	0.322	0.021	2.7837317108509e-220	"2"	"LILRB1"
"16"	1.0278903017786e-50	1.75800862221909	0.444	0.273	2.17758560431797e-46	"3"	"SKP1P2"
"17"	2.7589388180988e-31	1.93595137890041	0.316	0.244	5.84481188614232e-27	"3"	"ATP5I"
"18"	6.96880222809189e-14	1.74936098337782	0.256	0.223	1.47634075202127e-09	"3"	"COX17"
"19"	7.00182702448992e-14	1.5855728178651	0.307	0.258	1.48333705513819e-09	"3"	"ROMO1"
"20"	6.34553924323624e-10	1.6200753504468	0.334	0.322	1.3443024886796e-05	"3"	"SUMO1P3"
"21"	0	4.71030513857148	0.448	0.009	0	"4"	"IL1R2"
"22"	0	3.13431228933279	0.736	0.041	0	"4"	"CCR8"
"23"	4.69065684848376e-274	4.54412440868925	0.255	0.005	9.93715653351285e-270	"4"	"CD177"
"24"	2.35881938668919e-247	3.67531715799923	0.312	0.011	4.99715887070106e-243	"4"	"EBI3"
"25"	3.57002711805005e-51	3.37427911662778	0.273	0.023	7.56310244958903e-47	"4"	"ZBTB32"
"26"	9.10840100297593e-42	3.24581775630474	0.601	0.402	1.92961475248045e-37	"5"	"RPS7"
"27"	1.96692727029585e-41	3.48828439422479	0.599	0.407	4.16693542212177e-37	"5"	"EEF1A1"
"28"	2.24654419219767e-34	2.9575566410735	0.286	0.207	4.75930387117077e-30	"5"	"NACAP1"
"29"	4.74137236673309e-23	3.01825642874561	0.379	0.443	1.00445973589241e-18	"5"	"MIR1244-2"
"30"	0.00726197101370856	2.89302100957781	0.497	0.442	1	"5"	"RPL6"
"31"	6.96169075996422e-164	1.88182415760452	0.482	0.086	1.47483418749842e-159	"6"	"RTKN2"
"32"	5.97286510952091e-125	1.51538194152812	0.416	0.105	1.26535147345201e-120	"6"	"CCR4"
"33"	2.96729885822269e-71	1.44125228172523	0.266	0.088	6.28622263114477e-67	"6"	"HPGD"
"34"	4.30230369899529e-58	1.63626628679217	0.315	0.066	9.11443038632152e-54	"6"	"REREP3"
"35"	2.87632308809949e-53	1.87392488766169	0.274	0.046	6.09349046213876e-49	"6"	"FANK1"
"36"	0	3.32458722248537	0.778	0.225	0	"7"	"CCL4L1"
"37"	1.3118604191509e-281	3.86171928771089	0.595	0.05	2.77917629797119e-277	"7"	"CCL3"
"38"	6.59554623811299e-200	3.31421435989804	0.582	0.086	1.39726647054424e-195	"7"	"IFNG"
"39"	4.06359832879761e-151	3.36211163996466	0.442	0.092	8.60873305955773e-147	"7"	"CCL3L3"
"40"	8.46882137649193e-145	3.49747302111109	0.435	0.087	1.79411980860982e-140	"7"	"CCL3L1"
