"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"1"	3.09040550182273e-188	1.05356693051212	0.303	0.083	6.54702405561146e-184	"0"	"ITGA1"
"2"	6.03456407670935e-09	1.18747408113434	0.298	0.258	0.000127842239965088	"0"	"ANKRD11"
"3"	0	1.3376665500751	0.778	0.194	0	"1"	"CCR7"
"4"	1.35171453290629e-210	1.56265225416919	0.343	0.052	2.86360723796197e-206	"1"	"ACTN1"
"5"	1.43225033056641e-287	3.24933288314153	0.404	0.042	3.03422232530494e-283	"2"	"SPON2"
"6"	1.3140107202506e-224	2.64646804293323	0.322	0.021	2.7837317108509e-220	"2"	"LILRB1"
"7"	1.0278903017786e-50	1.75800862221909	0.444	0.273	2.17758560431797e-46	"3"	"SKP1P2"
"8"	2.7589388180988e-31	1.93595137890041	0.316	0.244	5.84481188614232e-27	"3"	"ATP5I"
"9"	0	4.71030513857148	0.448	0.009	0	"4"	"IL1R2"
"10"	4.69065684848376e-274	4.54412440868925	0.255	0.005	9.93715653351285e-270	"4"	"CD177"
"11"	9.10840100297593e-42	3.24581775630474	0.601	0.402	1.92961475248045e-37	"5"	"RPS7"
"12"	1.96692727029585e-41	3.48828439422479	0.599	0.407	4.16693542212177e-37	"5"	"EEF1A1"
"13"	6.96169075996422e-164	1.88182415760452	0.482	0.086	1.47483418749842e-159	"6"	"RTKN2"
"14"	2.87632308809949e-53	1.87392488766169	0.274	0.046	6.09349046213876e-49	"6"	"FANK1"
"15"	1.3118604191509e-281	3.86171928771089	0.595	0.05	2.77917629797119e-277	"7"	"CCL3"
"16"	8.46882137649193e-145	3.49747302111109	0.435	0.087	1.79411980860982e-140	"7"	"CCL3L1"
"17"	0	3.91751086228955	0.975	0.076	0	"8"	"TVP23A"
"18"	0	3.64676096190567	0.978	0.079	0	"8"	"NUBP1"
"19"	4.76179906983175e-129	2.38356317599399	0.684	0.042	1.00878713294386e-124	"9"	"SLC4A10"
"20"	2.7831426001704e-48	3.03843405972325	0.568	0.046	5.89608759846099e-44	"9"	"COLQ"
"21"	1.78116804251208e-56	3.62844799614161	0.35	0.033	3.77340449806185e-52	"10"	"CD200"
"22"	7.73440517736555e-38	3.67705107905996	0.393	0.021	1.63853373682489e-33	"10"	"CPM"
"23"	1.12927674087179e-132	6.5238461219726	0.63	0.01	2.39237277553688e-128	"11"	"RRM2"
"24"	1.37719466710086e-69	6.39821197708294	0.47	0.004	2.91758690225317e-65	"11"	"SPC25"
"25"	3.46869381580829e-24	3.88586832843566	0.334	0.136	7.34842784878985e-20	"12"	"MIR142"
"26"	1.75931431376637e-17	4.19189927600195	0.361	0.201	3.72710737371406e-13	"12"	"LENG9"
"27"	9.62567870178806e-135	5.23770776616283	0.963	0.045	2.0392000329738e-130	"13"	"RNF219-AS1"
"28"	4.23726393635071e-127	4.46071623914439	0.976	0.08	8.97664364915897e-123	"13"	"RNF219"
